ID	Reference	Second Reference	Text	Attribution	Possible Source	First mentioned	Variant	Second Variant
371	Ps 41:8		Καὶ ὅτε ἐρράγησαν αἱ πηγαὶ τῆς ἀβύσσου κατὰ Νωὲ καὶ ἀνεώχθησαν			III:146	II:49 = II:149, II:181-182, II:251-252	II:288, II:307, III:304, III:353, IV:271, IV:471
372	Ps 41:8		Νοητέον καὶ οὕτως τὸ “ἄβυσσος”· ἡ ἄβυσσος τῶν ἡμετέρων	Diodore of Tarsus		V:138		
373	Ps 41:8		Ὁ πατὴρ μαρτυρεῖ τὸν υἱὸν ἐν τῷ Ἰορδάνῃ· ἢ ὁ Χριστὸς	John Chrysostom		II:182		III:146
374	Ps 41:8		Ὁ υἱὸς τὸν πατέρα ἐν τῷ λέγειν Εἰ δυνατόν, παρελθέτω		lexeis	II:181-182	II:49 = II:149, II:251-252, III:146	II:288, II:307, IV:271, IV:378
375	Ps 41:9	Ps 41:8-9	Μεθ' ἡμέραν γὰρ τουτέστι φανερῶς καὶ οἱονεί πως ἐν φωτὶ	Cyril of Alexandria	Cyril of Alexandria	III:57		IV:187, IV:204, IV:250
376	Ps 41:11		Ἐπὶ σφαγὴν διὰ τὰ ὀστᾶ μου.			II:49		
377	Ps 41:12		Ἐλεήμων γάρ ἐστι καὶ οἰκτίρμων.			II:33		
378	Ps 41:12		Ὁ πιστὸς ἄνθρωπος ταῦτα πρὸς τὴν ἑαυτοῦ λέγει ψυχήν			IV:331		
379	Ps 50:1		Ἐλέχθη ὁ ψαλμὸς μετὰ τὴν ἁμαρτίαν τὴν εἰς Βηρσαβεὲ		catena (reader/compiler)	II:184		
380	Ps 50:3		Διττῶς γὰρ ἥμαρτες· ὁ γὰρ νόμος παρεκελεύετο			IV:333		
381	Ps 50:3		Τουτέστι διὰ τῆς τοῦ Χριστοῦ πίστεως καὶ ἐλέους			II:184	V:204	
382	Ps 50:3		Τουτέστι διὰ τῆς τοῦ Χριστοῦ πίστεως καὶ ἐλέους			V:204	II:184	
383	Ps 50:4		Διὰ τῆς ἀνομίας μέντοι τὸν φόνον δηλοῖ, διὰ τῆς ἁμαρτίας δὲ τὴν μοιχείαν.			III:360		
384	Ps 50:4		Ὁ καθαρισμὸς τὴν ἐπὶ τὴν κατὰ φύσιν ἐπάνοδον	Gregory of Nyssa		II:150		V:280
385	Ps 50:4		Συγχώρησόν μοι τὸ τῶν σφαλμάτων μου πέλαγος.			II:34		
386	Ps 50:5		Ἀνομίαν λέγει τὴν φόνον, ἁμαρτίαν τὴν μοιχείαν.		Athanasius of Alexandria	IV:305		
387	Ps 50:5		Καὶ ἡ ψυχή μου ἐταράχθη σφόδρα.			II:34		
388	Ps 50:6		Ἀλλὰ διὰ τοῦτο δεδικαίωται ὁ θεός· ἐπειδὴ γὰρ		Theodoret of Cyrrhus	III:360-361		
389	Ps 50:6	Ps 60:5	Ἀλλὰ καὶ τοῦ θεοῦ πολὺν περὶ μετανοίας ποιησαμένου λόγον	Theodore of Mopsuestia, Theodoret of Cyrrhus, Theodore of Heraclea	Theodore of Heraclea, Hesychius of Jerusalem (comm. magn.)	III:358-359	IV:150-151	III:306, V:99, V:187, V:203
390	Ps 50:6		Ἄνθρωπόν με ὄντα γεωργὸν βασιλέα ἐποίησας			II:185		
391	Ps 50:6		Ἀντὶ τοῦ· σοὶ μόνῳ ἔγνωσται τὸ ἁμάρτημά μου.	Origen		II:254		II:308, III:360, III:456, IV:273
392	Ps 50:6		Ἐὰν εἴπῃς σὺ τὰ ἁμαρτήματά μου καὶ μὴ ἐγὼ εἴπω καταδικάζομαι			II:185		
393	Ps 50:6		Εἰ κρίσις γένοιτο καὶ ἐξέτασις τῶν ὑπηργμένων τοῖς Ἰουδαίοις			III:456		IV:332, IV:380
394	Ps 50:6		Ἐνδελεχῶς ἐπὶ τῷ φόνῳ λέγει καὶ ἐπὶ τῇ μοχείᾳ.	Athanasius of Alexandria	Athanasius of Alexandria	II:95		
395	Ps 50:6		Ἐνέχυρον τοῦ πλήθους τοῦ ἐλέους σου κατέχων			IV:304		
396	Ps 50:6		Ἔστι δὲ καὶ αἰτιολογικὸν νοηθῆναι τὸ “ὅπως” καθ' ὑπερβατὸν			III:361		
397	Ps 50:6		Καθ’ ὑπερβατόν ἐστι· μετὰ τὴν ἐξαγόρευσιν τῆς ἁμαρτίας			II:184		
398	Ps 50:6		Καὶ διὰ τοῦτο δέομαι συγχωρήσεως τυχεῖν.			II:34		
399	Ps 50:6		Καὶ ὁμολογῶ τὴν ἁμαρτίαν καὶ ὁ ἔλεγχος ἀποσταλεὶς παρὰ σοῦ			II:185		
400	Ps 50:6		Κρίνεσθαι λέγεται ὁ θεὸς μεθ΄ ἡμῶν ὅταν ἐλέγχῃ ἡμᾶς.			IV:253		
401	Ps 50:6		Ὁ γὰρ τῶν θείων κατεξανιστάμενος νόμων εἰς αὐτὸν			III:360		
402	Ps 50:6		Ὅτι διὰ τοῦ<τό> φησι καὶ ἀναξίους εὐεργετεῖ	Photius		V:48		
403	Ps 50:6		Προειδὼς ὁ προφήτης τὰ μέλλοντα παρὰ Χριστοῦ πρὸς τὸν Πέτρον			IV:381		
404	Ps 50:6	Ps 60:5	Σοφῶς τοίνυν τῶν προειρημένων ῥημάτων μεμνημένος	Theodore of Mopsuestia, Theodoret of Cyrrhus, Theodore of Heraclea	Theodore of Heraclea, Hesychius of Jerusalem (comm. magn.)	III:359	IV:150-151	III:306, V:99, V:187, V:203
405	Ps 50:6		Τοῦ θεοῦ εἰπόντος· εὗρον Δαβίδ, κατὰ τὴν καρδίαν μου συγχώρησόν μοι	Origen		IV:475		
406	Ps 50:6	Ps 60:5	Τοὺς οἰκτιρμοὺς ἐπικαλεσάμενος τοῦ κυρίου καὶ ἀπὸ τῆς ἁμαρτίας	Theodore of Mopsuestia, Theodoret of Cyrrhus, Theodore of Heraclea	Theodore of Heraclea	IV:150-151	III:358-359, III:359	III:306, V:99, V:187, V:203
407	Ps 50:6		Τί ἐστι ὃ λέγεις Ἥμαρτόν σοι; ἐὰν γένηται δικαστήριον			II:184-185		
408	Ps 50:7		Καὶ ὅλον ἐναπεκάθηρεν.			II:34		
409	Ps 50:7		Μήτηρ τῆς ἁμαρτίας ἡ ἐπιθυμία· ἔργον δὲ ἑκατέρας			II:95-96		II:150, V:280
410	Ps 50:7	Ps 50:6	Οὐχὶ τὴν ἐκ τοῦ οἰκείου πατρὸς καὶ τῆς μητρὸς σύλληψιν			II:185		
411	Ps 50:7		Τὸ γὰρ θεῖον βάπτισμα τὰ τῆς γενέσεως πάντα ἐξεκάθηρεν.			IV:305		
412	Ps 50:7		Ὑπὸ ταύτης οὖν τῆς ἐπιθυμίας κεκισσῆσθαι καὶ συνειλῆφθαι			III:361		
413	Ps 50:8		Ἄδηλα καὶ κρύφια τῆς σοφίας τοῦ θεοῦ εἰσι ταῦτα ἃ ἐδηλωθησαν			II:186		
414	Ps 50:8	Ps 50:9	Ἤγουν τῷ ἁγίῳ πνεύματι ἢ τὸ αἷμα τοῦ μονογενοῦς		lexeis	II:96		II:184
415	Ps 50:8	Ps 50:9	Καὶ τὴν ἔνσαρκον οἰκονομίαν ὁ τἄλλα πάντα διὰ τοῦ ἁγίου			III:307	IV:475	
416	Ps 50:8		Λέγει δὲ τὰ περὶ τῆς ἐνανθρωπήσεως καὶ κρίσεως.			II:150		
417	Ps 50:8		Ὁμολογῶ τὰς ἁμαρτίας μου διότι ἀγαπᾷς τὴν ἀλήθειαν.			IV:253		
418	Ps 50:8		Σοφία μὲν τοῦ πατρὸς δηλονότι ὁ λόγος· ἄδηλα δὲ καὶ κρύφια		Hesychius of Jerusalem (Jagić)	IV:381	II:186	
419	Ps 50:8		Σοφία μὲν τοῦ πατρὸς δηλονότι ὁ λόγος· ἄδηλα καὶ κρύφια		Hesychius of Jerusalem (Jagić)	II:186	IV:381	
420	Ps 50:8		Τὸ οὖν ἐν κρυφῇ καὶ ἄδηλον σύμβολόν σου δεδήλωκάς με.		Hesychius of Jerusalem (Antonelli)	II:34		
421	Ps 50:8		Τουτέστι προφήτην με ἐχειροτόνησας τὴν παρουσίαν σου	Theodoret of Cyrrhus		II:186		
422	Ps 50:9	Ps 50:8	Αὐτός, φησί, βαπτίσει ὑμᾶς ἐν πνεύματι ἁγίῳ καὶ πυρί.		Athanasius of Alexandria	II:186		
423	Ps 50:9		Διὰ τῆς τοῦ βαπτίσματος τοῦ παναγίου χάριτος δηλονότι	Athanasius of Alexandria, Theodoret of Cyrrhus	Theodoret of Cyrrhus	III:180		III:204, V:48
424	Ps 50:9		Διὰ τοῦ ὑσσώπου τὴν τοῦ βαπτίσματος χάριν προαγορεύει			IV:475		
425	Ps 50:9		Ἐξομολογεῖται δὲ ὁ πιστὸς ἄνθρωπος καὶ διὰ τῆς ἐξομολογήσεως			IV:256		
426	Ps 50:9		Ἡ ὕσσωπος εἶδος μέν ἐστι πόας εἰς κάθαρσιν.			IV:475		
427	Ps 50:9		Θεὸς ὁ πάντα συγχωρῶν καθάρσιον μέγιστόν ἐστιν.			IV:381		
428	Ps 50:9		Καὶ γλιχόμενος οἷον ταύτης τυχεῖν.	Athanasius of Alexandria		II:330		
429	Ps 50:9	Ps 50:8	Καὶ τὴν ἔνσαρκον οἰκονομίαν καὶ τἄλλα πάντα παρὰ τοῦ ἁγίου			IV:475	III:307	
430	Ps 50:9		Νῦν τῇ βασιλείᾳ γὰρ έδωρήσω μοι καὶ τὸ τῆς προφητείας			IV:475		
431	Ps 50:9		Ὁ γὰρ ὕσσωπος τὰ ῥερυπώμενα καθαιρεῖ καὶ λευκὰ ὑποφέρει			IV:256		
432	Ps 50:9		Πλυνεῖς με ἐν τῷ λουτρῷ τῆς παλιγγενεσίας καὶ ἡ ἐκ τῆς διδασκαλίας	Jo(hn/bius) the lowly one	Jobius	IV:231		
433	Ps 50:9		Ταῦτα δύναμιν ἔχει εὐχῆς ἢ καὶ προφητείας περὶ ἑαυτοῦ.			IV:253		
434	Ps 50:9		Τὴν διὰ τοῦ βαπτίσματος ἐν τῷ ἁγίῳ πνεύματι γινομένην ἀπολύτρωσιν			II:186		
435	Ps 50:9		Τουτέστι ῥαντιεῖς εἴς με ἀντὶ τοῦ αἵματος τοῦ ἐκχυθέν<τος>	Jo(hn/bius) the lowly one	Jobius	IV:231		
436	Ps 50:9		Τῷ πνεύματι.			II:150		
437	Ps 50:9		Tῷ τοῦ βαπτίσματος ὕδατι.			II:96		II:150(?)
438	Ps 50:9		Ὕσσωπόν ἐστι τὸ ἄνθος τὸ τοῦ καλάμου.			II:34		
439	Ps 50:10		Ἀγαλλιάσονται τὰ ὀστᾶ μού φησι τὰ παλαιωθέντα τῇ ἁμαρτίᾳ			II:186-187		
440	Ps 50:10		Ἀκοῦσαί με ποιήσ<εις>.			II:96		
441	Ps 50:10		Ἀντὶ τῆς πράξεως ἤτοι τῆς ἀπολαύσεως τοῦ πράγματος		Adrian	II:186		
442	Ps 50:10		Τὰ ὦτά μου πλήρωσον εὐφροσύνης.		Theodoret of Cyrrhus	II:308		II:308
443	Ps 50:10		Τὸ λοῦτρον τοῦ βαπτίσματος καὶ τὸ ἄχραντον σῶμα.			II:96		II:150
444	Ps 50:11	Ps 50:16	Φησὶ γὰρ ὁ προφήτης· Σὺ γὰρ εἶπας, δέσποτα· μνήσθητι πρῶτος τῆς ἁμαρτίας	Jo(hn/bius) the lowly one	Jobius	IV:232		
445	Ps 50:12		Ἐνόησε δὲ τοῦτο οὕτω διὰ τὸ καὶ τὸ πνεῦμά σου τὸ ἅγιον			II:187		
446	Ps 50:12	Ps 50:18	Οὐ γὰρ ἐν αὐτῷ οὐκ ἔχων ὁ προφήτης καθαρὰν καρδίαν βοᾷ		Jobius	IV:232		
447	Ps 50:12		Οὐχὶ νῦν δημιούργησον, ἀλλὰ τὴν ἐκ τῆς κακίας παλαιωθεῖσαν	Basil of Caesarea		II:95		II:150, III:456, IV:332
448	Ps 50:13-14		Ἐμπεσὼν γὰρ εἰς τῷ τῆς μοιχείας βυθῷ, ἐστερήθη τῆς προφητικῆς χάριτος	Jo(hn/bius) the lowly one	Jobius	IV:231		
449	Ps 50:13		Ἀπὸ μεταφορᾶς δὲ τοῦτο πεποίηται.			III:361		
450	Ps 50:13		Τοῦτο δὲ ἦν ἡ ἔνθεος εὐφροσύνη.			IV:475		
451	Ps 50:14		Ἐνταῦθα τὸ πνεῦμα ἐπὶ χαρίσματος κεῖται, ἵνα εἴπῃ· κατάστησόν		Adrian	II:187		
452	Ps 50:14		Ἡγεμονικὸν δὲ πνεῦμα ἐκάλεσεν τὸν κυρίου νοῦν.			IV:430		
453	Ps 50:14		Καὶ ἴσως κατὰ τὸ εἰρημένον· Ἀβραὰμ ἠγαλλιάσατο ἵνα ἴδῃ			II:187		
454	Ps 50:14	Ps 50:12	Τουτ<έστιν> ἐν τοῖς ἀναγκαίοις καὶ λίαν ἀϊβίοις (sic) τῆς ψυχῆς			II:96		II:150
455	Ps 50:14	Ps 50:13	Ὡσανεὶ ἔλεγεν· ἐν τῷ ἀποδιδόναι μοι διὰ τὴν ἁμαρτίαν μου μὴ ἄρδην			II:187		
456	Ps 50:15		Ἐν τῷ δεχθῆναἰ μου τὴν μετάνοιαν πολλοὶ ἑωρακότες ἁμαρτωλοὶ			II:187		
457	Ps 50:16		Αἷμα ἄρ' ἐστὶν ἐφάμαρτος πρᾶξις.			IV:475		
458	Ps 50:16	Ps 50:17-19	Ἐκ πάσης παρανόμου καὶ ἀθεμίτου πράξεως· αἷμα γάρ ἐστι πᾶν			II:187	IV:381	IV:333, IV:430
459	Ps 50:17-19	Ps 50:16	Ἐκ πάσης παρανόμου καὶ ἀθεμίτου πράξεως· αἷμα γάρ ἐστι πᾶσα			IV:381	II:187	IV:333, IV:430
460	Ps 50:17-19		Ὁ δὲ θεὸς τὴν τοιαύτην θυσίαν οὐκ ἐξουδενοῖ.			IV:381		IV:430
461	Ps 50:17		Θεόδοτον γὰρ τὸ χρῆμα· οὐ γὰρ ὡραῖος αἶνος			II:50		
462	Ps 50:17		Ὁ αὐτὸς γὰρ λαὸς ἐν Βαβυλῶνι ἔλεγε· Πῶς ᾄσομεν τὴν ᾠδὴν			II:187-188		
463	Ps 50:18-19		Ὅσον ἀπὸ τῆς ὁμοιότητος τῶν λεγομένων ἐπεὶ ἥ γε προγραφὴ		catena (reader/compiler)	I:137-138		
464	Ps 50:18		Ταὐτὸν γὰρ μέλλεις διδόναι εἰς σφαγὴν ὑπὲρ ἡμῶν.			IV:475		
465	Ps 50:19		Συντριμμός ἐστι καρδία.			IV:475		
466	Ps 50:19		Τὸ γὰρ συντρίβειν οὐ διανίσταται, οὐ πλήττει, ἀλλὰ πρὸς τὸ παθεῖν	Theodoret of Cyrrhus		II:95		II:150
467	Ps 50:19	Ps 50:18	Τούτου χάριν τὴν δεκτήν σοι παράγω θυσίαν τὴν διὰ μετανοίας			II:188		
468	Ps 50:20-21		Καθ' ἱστορίαν. Ἡ δὲ ἱστορία τοιαύτη· φιλόσοφός τις ἔχων δύο υἱοὺς		anonymous historian	IV:253-255		
469	Ps 50:20		Ἐκκλησίαν.			IV:475		
470	Ps 50:20		Ἤτοι τῆς ἔνδον ἐκκλησίας ἑκάστης σῳζομένης ψυχῆς τὰς πνευματικὰς			II:188		
471	Ps 50:20		Τινὲς δὲ “τῇ Σιὼν” γράφουσιν πτῶσιν δοτικήν			III:361		
472	Ps 50:20		Τὸ “οἰκοδομηθήτω” ἀντὶ τοῦ οἰκοδομηθείη.			III:361		
473	Ps 50:21		Ἀγαθῦναι τὴν Σιὼν καὶ οἰκοδομηθῆναι τὰ τείχη Ἱερουσαλὴμ			III:361		
474	Ps 50:21		Ἀπὸ δὲ τῶν κατὰ νόμους τελουμένων καὶ τοῦτο δῆλον.			III:361		
475	Ps 50:21		Θυσίαι πνευματικαὶ αἱ δι’ ἐξομολογήσεως καὶ δικαιοσύνης			II:188		
476	Ps 50:21		Ὁλοκαυτώματα καὶ μόσχους καὶ αὐτὰ δικαιοσύνης			IV:305		
477	Ps 50:21		Τὴν λογικὴν <λ>ατρείαν.			IV:475		
478	Ps 51 hypothesis		Ἔχει δὲ καὶ τοῦ Δωὴκ τὸν κατὰ τοῦ Δαβὶδ προσενεχθέντα δόλον.			III:109		
479	Ps 51 title		“Εἰς τὸ τέλος” δὲ καὶ οὗτος ἡμᾶς ὁ ψαλμὸς παραπέμψει			III:365		
480	Ps 51 title		Ἢ οὖν εἰς αὐτὸν ὁ ψαλμὸς ἐκ προσώπου τοῦ Δαβὶδ		Theodore of Mopsuestia, Theodoret of Cyrrhus	III:365		
481	Ps 51 title	Ps 51:1	Κατὰ μὲν τὸ ῥητὸν εἰς τὸν Δωὴκ ἀναφέρεται ὁ ψαλμός.	Athanasius of Alexandria		II:151		III:147, V:280
482	Ps 51:1-2		Κατὰ γὰρ Διώδορον καὶ Θεόδωρον προφητείαν περιέχει τῆς Ἀσσυρίας.	Diodore of Tarsus, Theodore of Mopsuestia	Diodore of Tarsus, Theodore of Mopsuestia	II:189		
483	Ps 51:3-4		Καὶ μελετᾷς “ῥήματα δόλια”, τουτέστιν ἀδίκους λογισμοὺς		Theodoret of Cyrrhus	III:365		
484	Ps 51:3-4		Ὧδε δὲ τὸ “ἐλογίσατο“ ἀντὶ τοῦ ”ἐφθέγξατο”· ὅλην μὲν τὴν ἡμέραν			III:365		
485	Ps 51:3		Δυνατὸν ἐνταῦθά φησιν τὸν Ῥαψάκην	Victor, Hesychius of Jerusalem		V:49		
486	Ps 51:3		Δυνατὸν τὸν Δωήκ, ὃς ἐμήνυσε τῷ Σαοὺλ τὴν πρὸς τὸν Ἀβιμελὲχ	Origen		IV:476		
487	Ps 51:3		Ἐργάζῃ τὰ κακά· τἰ καὶ καυχᾷ ἐν αὐτοῖς ὁ δυνατός;			III:365		
488	Ps 51:3		Ἢ καὶ ὁ τῶν Ἰουδαίων λαός.			III:147		
489	Ps 51:3		Πρὸς Ἰούδαν λέγει.			II:151		
490	Ps 51:4		Ἡ γλῶσσά μου ἔκειτο ἐν τῷ τετρασελίδῳ, εἰ μή τι ἄρα σφάλμα ἦν		hexapla	II:255		IV:274, IV:306
491	Ps 51:4		Ἐπενόησας δόλον εὐκόλως κόπτοντα καὶ θερίζοντα τοὺς διαβαλλομένους		Theodore of Mopsuestia, Theodoret of Cyrrhus	III:365		
492	Ps 51:4		Σημαίνει δὲ <διὰ> τῆς τῶν ἱερέων πόλεως Νομβὰν			III:365-366		
493	Ps 51:5		Ἀνθ’ ὧν ἔδει αὐτὸν τῇ ὄντως δικαιοσύνῃ ὁμιλοῦντα			II:151		
494	Ps 51:5		Δυνατὸν γὰρ ἀμφοτέροις ἦν μὴ λαλῆσαι ἄδικα καὶ τῷ Δωὴκ		Theodore of Mopsuestia, Theodoret of Cyrrhus	III:366		
495	Ps 51:5		Καὶ ὁ τοῖς Ἀσσυρίοις προστεθῆναι Ἰουδαίους παρεγγυώμενος.			V:101		
496	Ps 51:5		Κακίαν τὸν διάβολον λέγει, ἀγαθοσύνην τὸν Χριστόν.			II:151		
497	Ps 51:5		Ὁ Ῥαψάκης προετίμησε γενέσθαι ἀσσύριος ἤπερ μεῖναι		Theodore of Mopsuestia, Theodoret of Cyrrhus	III:366		
498	Ps 51:5		Τὸ διάψαλμα μέλους ἐναλλαγὴν οἱ ο΄ ἑρμήνευσαν. 		hexapla	III:147		
499	Ps 51:6		Καὶ Ῥαψάκης σπουδάζων καταποντίσαι Ἱερουσαλὴμ		Theodore of Mopsuestia, Theodoret of Cyrrhus	III:366		
500	Ps 51:6		Τοῦτο δὲ ἀμφότεροι ἔδρασαν καὶ ὁ Δωὴκ ψευδέσι λόγοις		Theodore of Mopsuestia, Theodoret of Cyrrhus	III:366		
501	Ps 51:7		Ἀλλά γε καὶ πρὸς τοὺς ἄρχοντας τῶν Ἰουδαίων.	Athanasius of Alexandria, Hesychius of Jerusalem		III:457	IV:334	
502	Ps 51:7		Ἀνασπάσαι σε ὡς δένδρον ἀπὸ ῥιζῶν καὶ χωρίσαι			III:366		
503	Ps 51:7		Διὰ τὸ εἶναί σε οὕτω κακόν, ὁ θεός σε παντελῶς καταστρέψαι			III:366		
504	Ps 51:7		Ἐπὶ αὐτοῦ τοῦ προδότου τρέπει τὸν λόγον καὶ τὸ ὅπως ἀπήγξατο.			II:97		
505	Ps 51:7		Ἢ πάλιν εἰς τοὺς ἀνθρώπους ἀνέλθῃ.			IV:334		
506	Ps 51:7		Καὶ τὴν ῥίζαν σου, τὸ γένος σου, τὰ τέκνα σου		Theodore of Mopsuestia	III:366-367		
507	Ps 51:7		Καὶ τοῦτο πρὸς τὸν Ἰούδαν ἀνάγεται.		Hesychius of Jerusalem (Jagić)	III:147		
508	Ps 51:7		Καὶ τῷ αἰωνίῳ πυρὶ παραδώσει καὶ τελείῳ ἀφανισμῷ			IV:334		
509	Ps 51:7		Πρὸς τὸν προδότην οὗτος ὁ στῖχος ἁρμόττει			IV:334	III:457	
510	Ps 51:7		Σὲ τοίνυν, φησί, μετὰ παντός σου τοῦ γένους			III:457	IV:334	
511	Ps 51:7		Ταῦτα ἁρμόττει λέγεσθαι· δόλους γὰρ πολλοὺς ἔρραψε			IV:334		
512	Ps 51:7		Τούς τε γραμματεῖς καὶ ἀρχιερεῖς ἱερεῖς τε καὶ παντὶ	Athanasius of Alexandria, Hesychius of Jerusalem		IV:334	III:457	
513	Ps 51:8-9		Τὸ δὲ “ἐπήλπισεν” ἐπὶ τῷ πλήθει δύναται καὶ εἰς Ἰούδαν ἀναφέρεσθαι.			V:102		
514	Ps 51:8		Γνόντες τὴν ἀκαρπίαν τὴς πονηρίας τωθασμοῦ καὶ γέλωτος			III:367		
515	Ps 51:8		Ἐν τῇ φοβερᾷ καὶ μεγαλῇ τῆς κρίσεως ἡμέρᾳ.			II:189		
516	Ps 51:8		Ἰδόντες τὴν σὴν ἐκ θεοῦ τιμωρίαν φοβηθήσονται μήπως			III:367		
517	Ps 51:8		Καὶ τὸν οἰκεῖον δεσπότην καὶ διδάσκαλον πωλήσας			IV:335		
518	Ps 51:8		Ματαιότης ὁ πλοῦτος· ἐπὶ τοὺς ἔχοντας ἐσθ’ ὅτε καὶ ἀδοκήτως	Cyril		V:204		
519	Ps 51:9		Ἐθάρπησε μόνοις τοῖς χρήμασιν ἢ τῷ πλήθει καὶ τῇ ὑπερβολῇ			III:367		
520	Ps 51:9		Καὶ ἀντὶ ἀποστόλου προδότης, ἀντὶ δὲ τῆς αἰωνίου			IV:335		
521	Ps 51:9		Καὶ ἐφυσιώθη καὶ ὑψηλοφρόνησεν ὑπὸ ματαιᾶς δυναστείας			III:367		
522	Ps 51:9		Οὗτος ὁ ἄνθρωπος ἑκὼν ἑαυτὸν ἠλλοτρίωσε τὴς τοῦ θεοῦ βοηθείας			III:367		
523	Ps 51:9		Τὸν Ἰούδαν λέγει ἤτοι τὸν διάβολον.			II:189		
524	Ps 51:9		Φιλάργυρος γὰρ ὢν ὁ προδότης ἤλπισεν μέγαν πλοῦτον			IV:335		
525	Ps 51:10		Ἅπαξ τῷ θεῷ ἀναθέμενος ἐμαυτὸν τῆς ἐλπίδος αὐτοῦ			III:367		
526	Ps 51:10		Ἐγὼ δέ, ὁ Δαβὶδ ἢ Ἐζεκίας ἢ ἕκαστος τῶν δικαίων		Theodore of Mopsuestia, Theodoret of Cyrrhus	III:367		
527	Ps 51:10		Οἶκον δὲ θεοῦ νόει ἐνταῦθα τὸ εὐσεβὲς πολίτευμα.			I:171		
528	Ps 51:10	Ps 51:11	Τουτέστι μηδέποτε γυμνούμενος τῆς ἐλπίδος ἀλλ’ ἀεὶ θάλλουσαν	Theodoret of Cyrrhus		II:97		II:151
529	Ps 51:10		Ὥσπερ καὶ τὸ δένδρον ἡ ἐλαία ἀειθαλές.			II:189		
530	Ps 51:11		Ἐποίησας τὴν προδηλουμένην ἐκδίκησιν κατὰ τοῦ Δωήκ.	Theodore of Heraclea		III:61		III:109, IV:190, IV:205, IV:220
531	Ps 51:11		Εὐχαριστήσω σοι διὰ παντὸς ὅτι ἄξια εὐχαριστίας ἐποίησας			III:367		
532	Ps 51:11	Ps 31:7	Πολλῶν καὶ μεγάλων ἀνθρώπων κυκλωσάντων με	Theodoret of Cyrrhus, Theodore of Heraclea		III:109		
533	Ps 51:11		Προσδέξομαι τὴν ἀπὸ σοῦ, τοῦ θεοῦ μου, βοήθειαν			III:367		
534	Ps 51:11		Ὡς ἤδη θεασάμενος τὴν πανολεθρίαν τοῦ καυχωμένου			II:189-190		
535	Ps 61 hypothesis	Ps 61:2	Ἀποτείνει ὡς πρὸς τὸν τοὺς πειρασμοὺς ἐπάγοντα καὶ τὸν πολὺν ὄχλον			IV:385-386	II:191	IV:337
536	Ps 61:1		Τοῦ μὲν Δαβίδ ἐστιν ὁ ψαλμός.			IV:478		
537	Ps 61:1		Τοῦτον τὸν ψαλμὸν ὁμοφώνως ἅπαντες οἱ ἑρμηνευταὶ		Eusebius of Caesarea, Basil of Caesarea	II:191		
538	Ps 61:2		Ἄριστον γὰρ καὶ ἐπωφελὲς καὶ πάσης ἡμὶν ἐλπίδος	Cyril of Alexandria		V:51		
539	Ps 61:2		Γέγονε γὰρ ἡμῖν παρὰ τοῦ θεοῦ καὶ πατρὸς ὁ υἱὸς ἱλασμός	Cyril of Alexandria		V:51		
540	Ps 61:2	Ps 61:hyp	Οὐχί σοι τῷ τοὺς πειρασμούς μοι ἐπάγοντι καὶ τὸν πολὺν ὄχλον			II:191	IV:385-386	IV:337
541	Ps 61:2		Περὶ τῆς ἐνανθρωπήσεως τοῦ Χριστοῦ λέγει.			II:191-192		
542	Ps 61:3		Ἀντιλαμβανόμενός μοι φανεῖς· οὐ μετακινηθήσομαι			IV:307		II:256
543	Ps 61:4		Ἐπειδή, φησίν, ὑμεῖς οἱ δαίμονες προσβάλλητε τῇ ψυχῇ		Basil of Caesarea	IV:337		
544	Ps 61:4		Ἢ καὶ τοὺς αἰσθητοὺς πολεμίους φησίν.			III:183		III:206, III:220, V:51
545	Ps 61:5		Εἰσί γάρ· εἰσὶν οἳ μὲν τὴν γλῶτταν ἔχουσι διφυᾶ	Cyril of Alexandria		V:51		
546	Ps 61:5		Ἐν τοῖς παλαιοῖς ἀντιγράφοις ἀντὶ τοῦ ἐν δίψει, ἐν ψεύδει περιέχεται			II:192		
547	Ps 61:5		Οἳ τρέχουσι καθ' ἡμῶν τουτέστιν οἱ δαίμονες φθονοῦντες		Basil of Caesarea	IV:337		III:148(?)
548	Ps 61:5		Πρὸς τὸν Ἰούδαν ὁ λόγος.			II:152		
549	Ps 61:5		Τιμὴν ἐνταῦθα τὴν θεοσέβειαν λέγει· τουτέστιν ἔσπευδεν			II:192		
550	Ps 61:5		Τιμὴν ἐνταῦθα τὸ τοῦ Χριστοῦ πανάγιον αἷμα λέγει		Basil of Caesarea	IV:337		
551	Ps 61:6		Αὐτὸς γινώσκει ἃ δύναμαι ὑπομένειν ὅσα τε καὶ ὅσον		Didymus of Alexandria	I:182-183		
552	Ps 61:7		Οὐ μὴ δραπετεύσω οὐδὲ μετανάστης γενήσομαι καὶ φυγὰς			II:192		
553	Ps 61:7		Οὐ μὴ … θω.			IV:205		
554	Ps 61:9		Ἀντὶ τοῦ πλατέως καὶ δαψιλῶς καὶ ἀδιστάκτως			II:192		
555	Ps 61:9		Παραίνεσιν εἰσφέρει ἐνταῦθα ὁ προφήτης πᾶσι τοῖς ἔθνεσιν.			III:148		
556	Ps 61:9		Συναγωγή φησιν ἡ ἐξ ἐθνῶν δηλονότι.	Didymus of Alexandria, Athanasius of Alexandria		III:183		III:206, III:220, V:51
